sentiment,headline
positive,Funding for New Product Release in April New Products to be released in April. Corporation Group Secures Funding from New Product
positive,Hel Announces Major Partnership with Capital Investors. Finnish-Finnish Firm Hel announces Major Partnership with Capital
positive,Reports Continued Growth Despite Market Challenges Industrial Equipment Maker Reports Keeps Growing Despite Industry Challenges
positive,Funding for New Product Release in April New Products to be released in April. Corporation Group Secures Funding from New Product
positive,Hel Announces Major Partnership with Capital Investors. Finnish-Finnish Firm Hel Annouces Major Partnership With Capital
positive,Reports Continued Growth Despite Market Challenges Industrial Equipment Maker Reports Keeps Growing Despite Industry Challenges
positive,Funding for New Product Release in April New Products to be released in April. Corporation Group Secures Funding from New Product
positive,Hel Announces Major Partnership with Capital Investors. Finnish-Finnish Firm Hel announces Major Partnership with Capital
positive,Lead to Major Equipment Deal as Oyj Negotiations Lead to Stock Surge as OYJ Negotations Lead
positive,Lead to Major Equipment Deal as Oyj Negotiations Lead to Stock Surge as OYJ Negotations Lead
positive,Funding for New Product Release in April. Corporation Group Secures Funding to Develop New Products in May. The Corporation Group secures
positive,Expansion of Operations with Strong Capital Investment. Finnish Corporation Announces Expande of Operations.
positive,Reports Continued Growth Despite Market Challenges Industrial Equipment Maker Reports Keeps Growing Despite Industry Challenges
positive,Hel Announces Major Partnership with Capital Investors. Finnish-Finnish Firm Hel announces Major Partnership with Capital
positive,Expansion of Operations with Strong Capital Investment. Finnish Corporation Announces Expande of Operations.
negative,Declining Stock Prices Amid Market Uncertainty Group Concerned Over Declining Stock Prices Among Other Factors
negative,Declining Stock Prices Amid Market Uncertainty Group Concerned Over Declining Stock Prices Among Other Issues
negative,as Corporation Announces Major Equipment Recall. Stock Drops as Corporation Anounces Larger Equipment recall.
negative,Over Declining Stock Prices Amid Market Uncertainty Group Concerned Over Decrementing Stock Prices Despite Uncertain
negative,Over Declining Stock Prices Amid Market Uncertainty Group Concerned Over Decrementing Stock Prices Despite Uncertain
negative,Break Down Between Capital Investors and Finnish Makers of Finland. Break Down During NGO Negotiations Breakdown Between Fund Investors
negative,Over Declining Stock Prices Amid Market Uncertainty Group Concerned Over Declining Stock Prices Among Other Issues
negative,Oyj Faces Delays in Operations Due to Failed Negotiations. Finnish Oyja Fails to Operate Due to
negative,as Corporation Announces Major Equipment Recall. Stock Drops as Corporation Anounces Larger Equipment recall.
negative,Oyj Faces Delays in Operations Due to Failed Negotiations. Finnish Oyja Fails to Operate Due to
negative,as Corporation Announces Major Equipment Recall. Stock Drops as Corporation Anounces Larger Equipment recall.
negative,Break Down Between Capital Investors and Finnish Makers. Break Down During NGO Negotiations Breakdown Between Finns and Capital Investor
negative,Break Down Between Capital Investors and Finnish Makers. Break Down During NGO Negotiations Breakdown Between Finns and Capital Investor
negative,Oyj Faces Delays in Operations Due to Failed Negotiations. Finnish Oyja Fails to Operate Due to
negative,Oyj Faces Delays in Operations Due to Failed Negotiations. Finnish Oyja Fails to Operate Due to
neutral,Stock Performance at Annual Meeting Corporation Group Discusses Stock Performance At Annual Meeting Share Performance at annual meeting Group Discussions on Stock Performance
neutral,Concerning Capital Investment to Continue Next Month. To Continue Narrowing Negotiations Regarding Capital Investment to Continue next Month.
neutral,s New Equipment Release in April. Oyj Announces New Technology Release in May.
neutral,Stock Performance at Annual Meeting Corporation Group Discusses Stock Performance At Annual Meeting Share Performance at annual meeting Group Discussions on Stock Performance
neutral,"Concerning Capital Investment to Continue Next Month. During the next month, NGO Negotiations Relating to Capital Investment will Continue"
neutral,Stock Performance at Annual Meeting Corporation Group Discusses Stock Performance At Annual Meeting Share Performance at annual meeting Corporation Group Annual Meeting
neutral,Finnish Corporation to Review Operations Strategy in Monday Meeting .
neutral,Finnish Corporation to Review Operations Strategy in Monday Meeting .
neutral,s New Equipment Release in April. Oyj Announces New Technology Release in May.
neutral,Concerning Capital Investment to Continue Next Month. NGO Negotiations Regarding Capital Investing to Continue next month.
neutral,Finnish Corporation to Review Operations Strategy in Monday Meeting .
neutral,Finnish Corporation to Review Operations Strategy in Monday Meeting .
neutral,Finnish Corporation to Review Operations Strategy in Monday Meeting .
neutral,Stock Performance After Recent Market Trends. Group to Evaluate Stock Performance after Recent Market Tendencies. Shares of 
neutral,Concerning Capital Investment to Continue Next Month Negotiations Regarding Capital Investing to Continue next month. NGO’s Concerning
positive,"EUR 300mn in Net Profit, Highlighting Strong Year-End Growth, Leading to Strong Return on Investment (ROI) and"
positive,"In Latest EUR Quarterly Report, Sales and Profit Both Increase in Latest EUR Quartal Report."
positive,Operating Profit Surges in EUR as Net Sales Jump 15% Year-over-Year. Operating Profit Swells in EUR As Net Sales
positive,Operating Profit Surges in EUR as Net Sales Jump 15% Year-over-Year. Operating Profit Swells in EUR As Net Sales
positive,"EUR 300mn in Net Profit, Highlighting Strong Year-End Growth, Leading to Strong Return on Investment (ROI) and"
positive,EUR 200mn Net Profit Outpaces Expectations in a Strong Q1 Performance. 1Q1 performance. EUR 200
positive,Operating Profit Surges in EUR as Net Sales Jump 15% Year-over-Year. Operating Profit Swells in EUR As Net Sales
positive,"In Latest EUR Quarterly Report, Sales and Profit Both Increase in Latest EUR QUARTERLY RESULTS."
positive,EUR 500mn Profit Reported as Sales Increase in Latest Quarter - EUR 500Mn profit reported as sales increase in latest quarter 
positive,EUR 200mn Net Profit Outpaces Expectations in a Strong Q1 Performance. 1Q1 performance. EUR 200
positive,"In Latest EUR Quarterly Report, Sales and Profit Both Increase in Latest EUR QUARTERLY RESULTS."
positive,"EUR 300mn in Net Profit, Highlighting Strong Year-End Growth, Leading to Strong year-on-year Growth."
positive,EUR 200mn Net Profit Outpaces Expectations in a Strong Q1 Performance. 1Q1 performance. EUR 200
positive,Operating Profit Surges in EUR as Net Sales Jump 15% Year-over-Year. Operating Profit Swells in EUR As Net Sales
positive,Profit Reported as Sales Increase in Latest Quarter of EUR 500mn - EUR 500Mn profit reported as sales increase in latest quarter
negative,as EUR Sales Fail to Offset Costs in Q3 As EUR Sales Do Not Offset Operating Loss In Q3 as EUR
negative,Total EUR 150mn Due to Weaker Than Expected Net Profits Total EUR 170mn due to Weaker
negative,Negative Profit Growth and EUR Operating Declines Reported in Latest Period – Latest Period – Latest Period –
negative,Total EUR 150mn Due to Weaker Than Expected Net Profits Total EUR 170mn due to Weaker
negative,EUR 50mn Pretax Loss in Corresponding Period Marks a Weak Financial Quarterly. EUR 5mn
negative,Net Loss Recorded Despite Strong Sales in Previous Quarter EUR 100mn Net loss recorded despite strong sales in Next Quarter
negative,as EUR Sales Fail to Offset Costs in Q3 As EUR Sales Do Not Offset Operating Loss Increases as Offset
negative,as EUR Sales Fail to Offset Costs in Q3 As EUR Sales Loss Increases as Offset-Costs Fa
negative,Total EUR 150mn Due to Weaker Than Expected Net Profits Total EUR 170mn due to Weaker
negative,EUR 50mn Pretax Loss in Corresponding Period Marks a Weak Financial Quarterly. EUR 5mn
negative,Total EUR 150mn Due to Weaker Than Expected Net Profits Total EUR 170mn due to Weaker
negative,EUR 50mn Pretax Loss in Corresponding Period Marks a Weak Financial Quarterly. EUR 5mn
negative,EUR 50mn Pretax Loss in Corresponding Period Marks a Weak Financial Quarterly. EUR 25mn
negative,Negative Profit Growth and EUR Operating Declines Reported in Latest Period. EUR Operating Declins Reported as a result of EUR
negative,EUR 50mn Pretax Loss in Corresponding Period Marks a Weak Financial Quarterly. EUR 5mn
neutral,Net Profit and Sales Totals in EUR Align with Corresponding Year Net Profit & Sales totals in USD Align With Cor
neutral,EUR Sales and Net Totals Report Year-on-Year Steady Growth of 2%.
neutral,EUR 100mn in Net Profit Amid Stable Sales Growth.
neutral,EUR 100mn in Net Profit Amid Stable Sales Growth.
neutral,EUR Sales and Net Totals Report Year-on-Year Steady Growth of 2%.
neutral,EUR 100mn in Net Profit Amid Stable Sales Growth.
neutral,EUR EUR Sales Steady at 500mn in Latest Operating Period in Latest Operation Period - EUR 500Mn in
neutral,EUR Sales and Net Totals Report Year-on-Year Steady Growth of 2%.
neutral,Net Profit and Sales Totals in EUR Align with Corresponding Year Net Profit & Sales totals in USD Align With Cor
neutral,EUR 100mn in Net Profit Amid Stable Sales Growth.
neutral,EUR EUR Sales Steady at 500mn in Latest Operating Period in Latest Operation Period - EUR 500Mn in
neutral,EUR 100mn in Net Profit Amid Stable Sales Growth.
neutral,EUR Sales and Net Totals Report Year-on-Year Steady Growth of 2%.
neutral,EUR EUR Sales Steady at 500mn in Latest Operating Period in Latest Operation Period - EUR 500Mn in
