neutral,Metsa-Botnia will sell 82.1 % of its stake in the Uruguayan companies and Metsaliitto -- 5.5 % .
neutral,"Uncertainties still exist , however ."
negative,Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .
positive,Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .
positive,"HELSINKI (Thomson Financial)- Kemira GrowHow swung into profit in its first quarter earnings on improved sales , especially in its fertilizer business in Europe , which is normally stronger during the first quarter ."
negative,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue ."
positive,"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 ."
neutral,"The sale , comprising the margarine business in Finland and Poland , follows the approval of the Polish competition authorities earlier in October ."
positive,"Brazilian non-profit interbank Camara Interbancaria de Pagamentos CIP has acquired solutions from US business integration solutions provider Sterling Commerce , the latter company said in a statement ."
negative,"- Demand for fireplace products was lower than expected , especially in Germany ."
positive,"Forestries were also higher , driven by yesterday 's bullish analyst comment on Stora Enso in Dagens Industri , dealers said ."
neutral,"Fortum is looking to invest in several new production units , including a new waste-fired unit at its Brista combined heat and power ( CHP ) plant and a biofuels-based production unit at Vartan CHP plant ."
neutral,"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces ."
positive,"Nokia , which has a strong track record in the lower-end handset market , said in July its touch-screen offering would come this year and be cheaper than rival models in order to tap into a higher-volume market ."
neutral,"Jun. 25 , 2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78 , huh ?"
neutral,The appointments will be in force until the new CEO has been appointed .
negative,Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .
negative,"Operating profit excluding non-recurring items decreased to EUR 6.2 mn from EUR 16.8 mn in 2007 , representing 2.3 % of net sales ."
neutral,"The Tekla Structures product box , if needed , is now made from recycled material ."
negative,They are also upset that some of the machinery and work is taken over to Poland .
